 Temperature        Energy          Best   Accept   Improve     Elapsed   Remaining

     3.84660        112.00                         0:00:00            
 Temperature        Energy          Best   Accept   Improve     Elapsed   Remaining

     2.71000        123.00                         0:00:00            
     3.77318         82.00         69.00    61.36%    21.85%     0:00:01     0:00:50
     2.66473         48.00         30.00    30.63%    12.45%     0:00:01     0:00:57
     3.70121         95.00         67.00    60.53%    20.88%     0:00:01     0:00:46
     2.62021         31.00         30.00    25.18%     9.70%     0:00:01     0:00:53
     3.63057         92.00         66.00    59.63%    20.80%     0:00:01     0:00:45
     2.57643         36.00         16.00    11.24%     4.19%     0:00:02     0:00:51
     3.56131         50.00         37.00    47.87%    18.65%     0:00:02     0:00:43
     2.53341         28.00         10.00    14.06%     5.35%     0:00:02     0:00:49
     3.49334         78.00         37.00    35.49%    13.52%     0:00:02     0:00:42
     2.49109         14.00          6.00     2.81%     1.38%     0:00:03     0:00:49
     3.42670         85.00         37.00    45.34%    18.59%     0:00:03     0:00:42
     2.44947         29.00          5.00     3.97%     1.54%     0:00:03     0:00:49
     3.36130         93.00         37.00    52.65%    19.51%     0:00:03     0:00:42
     3.29718         79.00         37.00    56.58%    20.88%     0:00:04     0:00:42
     2.40855          7.00          5.00     4.02%     1.71%     0:00:04     0:00:49
     3.23425         70.00         35.00    46.17%    17.41%     0:00:04     0:00:42
     2.36833         15.00          5.00     3.80%     1.49%     0:00:04     0:00:49
     3.17255         75.00         35.00    35.02%    13.40%     0:00:05     0:00:41
     2.32876         15.00          5.00    11.02%     4.08%     0:00:05     0:00:48
     3.11200         40.00         35.00    38.64%    14.94%     0:00:05     0:00:41
     2.28986          4.00          4.00     6.01%     2.20%     0:00:05     0:00:48
     3.05264         46.00         14.00    24.40%     9.51%     0:00:06     0:00:40
     2.25160         37.00          4.00     7.60%     2.53%     0:00:06     0:00:47
     2.99437         50.00         14.00    15.49%     5.62%     0:00:06     0:00:40
     2.21400         20.00          4.00     6.78%     2.70%     0:00:07     0:00:48
     2.93725         54.00         14.00    27.92%    10.19%     0:00:07     0:00:41
     2.88119         29.00         13.00    20.43%     7.59%     0:00:07     0:00:40
     2.17702         20.00          4.00     6.23%     2.20%     0:00:07     0:00:47
     2.82623         36.00         13.00    16.62%     6.05%     0:00:08     0:00:40
     2.14065         29.00          4.00     7.66%     2.92%     0:00:08     0:00:47
     2.77229         44.00         13.00    24.38%     9.51%     0:00:08     0:00:39
     2.10490         18.00          4.00     5.95%     2.15%     0:00:08     0:00:46
     2.71941         42.00         13.00    21.87%     8.46%     0:00:08     0:00:38
     2.06974          2.00          2.00     5.40%     2.42%     0:00:09     0:00:45
     2.66750         46.00         13.00    30.56%    11.42%     0:00:09     0:00:38
     2.03516          2.00          2.00     0.00%     0.00%     0:00:09     0:00:45
     2.61662         67.00         13.00    34.22%    13.28%     0:00:09     0:00:37
     2.00116         16.00          2.00     2.64%     0.88%     0:00:10     0:00:44
     2.56667         65.00         13.00    37.72%    14.07%     0:00:10     0:00:37
     1.96774          1.00          1.00     2.26%     1.05%     0:00:10     0:00:43
     2.51771         91.00         13.00    38.54%    13.22%     0:00:10     0:00:36
     1.93487         12.00          1.00     0.66%     0.17%     0:00:11     0:00:42
     2.46966         76.00         13.00    44.69%    17.59%     0:00:11     0:00:36
     2.42255         65.00         13.00    40.15%    15.32%     0:00:11     0:00:36
     1.90254         11.00          1.00     4.24%     1.71%     0:00:11     0:00:43
     2.37631         69.00         13.00    37.16%    14.44%     0:00:12     0:00:35
     1.87076          4.00          1.00     4.68%     1.76%     0:00:12     0:00:42
     2.33098         77.00         13.00    26.13%     9.51%     0:00:12     0:00:35
     1.83952          0.00          0.00     0.61%     0.33%     0:00:12     0:00:41
     2.28649         59.00         13.00    18.15%     6.91%     0:00:13     0:00:34
     1.80879          0.00          0.00     0.00%     0.00%     0:00:13     0:00:41
     2.24288         56.00         13.00    27.36%     9.70%     0:00:13     0:00:34
     1.77857          0.00          0.00     0.00%     0.00%     0:00:14     0:00:41
     2.20007         65.00         13.00    20.25%     8.02%     0:00:14     0:00:34
     1.74887         16.00          0.00     0.88%     0.17%     0:00:14     0:00:40
     2.15810         65.00         13.00    21.43%     7.91%     0:00:14     0:00:33
     1.71965          1.00          0.00     0.99%     0.55%     0:00:15     0:00:42
     2.11691         72.00         13.00    22.41%     8.27%     0:00:15     0:00:34
     2.07653         65.00         13.00    17.60%     6.79%     0:00:16     0:00:35
     1.69092          7.00          0.00     0.39%     0.11%     0:00:16     0:00:42
     2.03689         50.00         13.00    15.25%     6.30%     0:00:17     0:00:34
     1.66267          2.00          0.00     0.11%     0.11%     0:00:17     0:00:41
     1.99804         54.00         13.00     8.65%     3.15%     0:00:17     0:00:33
     1.63491          2.00          0.00     0.00%     0.00%     0:00:17     0:00:40
     1.95990         48.00         13.00    11.17%     3.83%     0:00:18     0:00:33
     1.60760          5.00          0.00     0.06%     0.00%     0:00:18     0:00:39
     1.92252         30.00         13.00    10.93%     4.69%     0:00:18     0:00:32
     1.58074          5.00          0.00     0.00%     0.00%     0:00:18     0:00:39
     1.88582         32.00         13.00     6.48%     2.35%     0:00:18     0:00:31
     1.55433          7.00          0.00     1.93%     0.77%     0:00:19     0:00:38
     1.84985         20.00          6.00     8.03%     3.27%     0:00:19     0:00:31
     1.81454         12.00          6.00     4.07%     1.36%     0:00:19     0:00:30
     1.52838          9.00          0.00     0.17%     0.06%     0:00:19     0:00:37
     1.77993          6.00          5.00     1.73%     0.68%     0:00:20     0:00:29
     1.50284          6.00          0.00     0.39%     0.17%     0:00:20     0:00:37
     1.74596          6.00          5.00     1.11%     0.37%     0:00:20     0:00:29
     1.47773          3.00          0.00     0.28%     0.11%     0:00:20     0:00:36
     1.71265         17.00          5.00     1.61%     0.49%     0:00:21     0:00:29
     1.45305          3.00          0.00     0.00%     0.00%     0:00:21     0:00:36
     1.67996         13.00          5.00     2.53%     0.80%     0:00:21     0:00:28
     1.42878          0.00          0.00     0.17%     0.11%     0:00:21     0:00:35
     1.64792         16.00          5.00     2.10%     0.68%     0:00:22     0:00:27
     1.40491          4.00          0.00     0.11%     0.06%     0:00:22     0:00:34
     1.61646         11.00          4.00     1.23%     0.49%     0:00:22     0:00:27
     1.38144          3.00          0.00     0.06%     0.06%     0:00:22     0:00:34
     1.58563          2.00          2.00     0.56%     0.25%     0:00:22     0:00:26
     1.55537         10.00          2.00     0.43%     0.06%     0:00:23     0:00:26
     1.35837          3.00          0.00     0.06%     0.00%     0:00:23     0:00:33
     1.52570         12.00          2.00     2.59%     1.17%     0:00:23     0:00:25
     1.33568          0.00          0.00     0.06%     0.06%     0:00:23     0:00:32
